Game Title,Score
Processing file: assets/steamdb1.csv,-inf
Apex Legends,252.185
PUBG: BATTLEGROUNDS,537.166
Rust,16.7943
Grand Theft Auto V,24.5343
Team Fortress 2,40.0964
FINAL FANTASY XIV Online,5.36709
BattleBit Remastered,5.32505
Baldur's Gate 3,8.18213
Forza Horizon 5,3.45626
Remnant II,1.2214
Processing file: assets/steamdb2.csv,1.2214
Tom Clancy's Rainbow Six Siege,37.9057
Dota 2,12.4925
The Elder Scrolls Online,3.15777
Street Fighter 6,0.665421
Counter-Strike: Global Offensive,303.644
Call of Duty,74.4269
Cyberpunk 2077,11.8503
Dystopy,26.7426
Dead by Daylight,17.0007
War Thunder,118.208
Warframe,228.226
